video_id,total_wrongs,total_questions,all_wrong_qtypes,n_models,fail_rate
zDjhiD_j3Zc_000109_000119,46.0,8.0,7.0,6.0,0.9583333333333334
lC1NwKMVHWw_000031_000041,45.0,8.0,7.0,6.0,0.9375
9cccNGmq-Ho_000011_000021,44.0,8.0,7.0,6.0,0.9166666666666666
GAGuv8boQUY_000201_000211,44.0,8.0,7.0,6.0,0.9166666666666666
OWVIqrzBo3c_000029_000039,44.0,8.0,7.0,6.0,0.9166666666666666
g45kxJZw6A8_000066_000076,44.0,8.0,7.0,6.0,0.9166666666666666
1ffPRwxGlTI_000002_000012,43.0,8.0,7.0,6.0,0.8958333333333334
nZBJ7Cm8h3k_000000_000010,43.0,8.0,7.0,6.0,0.8958333333333334
-wnlQz8oACI_000025_000035,46.0,8.0,6.0,6.0,0.9583333333333334
2ENmMeLb-s8_000094_000104,46.0,8.0,6.0,6.0,0.9583333333333334
81Os29Dac6A_000000_000010,46.0,8.0,6.0,6.0,0.9583333333333334
9TOQGSWa40M_000134_000144,46.0,8.0,6.0,6.0,0.9583333333333334
9XwPltcW544_000002_000012,46.0,8.0,6.0,6.0,0.9583333333333334
BgMirHFqk1U_000010_000020,46.0,8.0,6.0,6.0,0.9583333333333334
D-pqBrpzm7U_000012_000022,46.0,8.0,6.0,6.0,0.9583333333333334
Fqnz-z_LCTM_000004_000014,46.0,8.0,6.0,6.0,0.9583333333333334
GwfM9FZSOIU_000049_000059,46.0,8.0,6.0,6.0,0.9583333333333334
JJjyLfjTwuM_000261_000271,46.0,8.0,6.0,6.0,0.9583333333333334
JXJgp0v24yk_000184_000194,46.0,8.0,6.0,6.0,0.9583333333333334
JfMmuDPbqf8_000155_000165,46.0,8.0,6.0,6.0,0.9583333333333334
LwFp5x3rd4k_000114_000124,46.0,8.0,6.0,6.0,0.9583333333333334
MLiWDbnCmKo_000004_000014,46.0,8.0,6.0,6.0,0.9583333333333334
N-2aQxwLqpE_000020_000030,46.0,8.0,6.0,6.0,0.9583333333333334
O411UBRvrZc_000007_000017,46.0,8.0,6.0,6.0,0.9583333333333334
Q8ZVmPTU2pM_000013_000023,46.0,8.0,6.0,6.0,0.9583333333333334
QW8Cab_QpGI_000022_000032,46.0,8.0,6.0,6.0,0.9583333333333334
SY7WiZpVLE4_000085_000095,46.0,8.0,6.0,6.0,0.9583333333333334
Xllal9867PY_000015_000025,46.0,8.0,6.0,6.0,0.9583333333333334
ZJiRw0HOtn0_000001_000011,46.0,8.0,6.0,6.0,0.9583333333333334
ZfyTPbnpAME_000255_000265,46.0,8.0,6.0,6.0,0.9583333333333334
_77WyOmObUE_000261_000271,46.0,8.0,6.0,6.0,0.9583333333333334
bT5AO9dZTAs_000351_000361,46.0,8.0,6.0,6.0,0.9583333333333334
gLbIY8p31DQ_000092_000102,46.0,8.0,6.0,6.0,0.9583333333333334
jZuhtcON0CY_000025_000035,46.0,8.0,6.0,6.0,0.9583333333333334
kAhONcAo4jU_000000_000010,46.0,8.0,6.0,6.0,0.9583333333333334
kE3Vf-LbXwY_000010_000020,46.0,8.0,6.0,6.0,0.9583333333333334
l_GvwqG0cjM_000096_000106,46.0,8.0,6.0,6.0,0.9583333333333334
lvIsmyegrxw_000003_000013,46.0,8.0,6.0,6.0,0.9583333333333334
mUu1fT2vUVg_000003_000013,46.0,8.0,6.0,6.0,0.9583333333333334
mfdb5yX4xnA_000395_000405,46.0,8.0,6.0,6.0,0.9583333333333334
nVvFSdiBZME_000000_000010,46.0,8.0,6.0,6.0,0.9583333333333334
sKi0IEIZ1Xg_000302_000312,46.0,8.0,6.0,6.0,0.9583333333333334
shFx6GoTXis_000076_000086,46.0,8.0,6.0,6.0,0.9583333333333334
vacJv4W5Hq0_000015_000025,46.0,8.0,6.0,6.0,0.9583333333333334
3UmsJps2p-A_000015_000025,45.0,8.0,6.0,6.0,0.9375
4bhXOmPrJJU_000397_000407,45.0,8.0,6.0,6.0,0.9375
5C5svaZCHYo_000113_000123,45.0,8.0,6.0,6.0,0.9375
7mJ2Rt57jpw_000003_000013,45.0,8.0,6.0,6.0,0.9375
GA-rUvRCWDo_000041_000051,45.0,8.0,6.0,6.0,0.9375
GsxpxmkGWNU_000018_000028,45.0,8.0,6.0,6.0,0.9375
IyioB505hJU_000003_000013,45.0,8.0,6.0,6.0,0.9375
WgUHvAVzn7M_000008_000018,45.0,8.0,6.0,6.0,0.9375
a0ayV0ST3nc_000004_000014,45.0,8.0,6.0,6.0,0.9375
d57GBFuOTWI_000037_000047,45.0,8.0,6.0,6.0,0.9375
f5Q-xljsNCI_000067_000077,45.0,8.0,6.0,6.0,0.9375
k8ocgHIIoB4_000036_000046,45.0,8.0,6.0,6.0,0.9375
lqDsEFcKW_Y_000040_000050,45.0,8.0,6.0,6.0,0.9375
o7BixzL6uDo_000110_000120,45.0,8.0,6.0,6.0,0.9375
7CZVX3dHrbY_000002_000012,44.0,8.0,6.0,6.0,0.9166666666666666
C06FHZRBadE_000000_000010,44.0,8.0,6.0,6.0,0.9166666666666666
I2MXcG9mezI_000003_000013,44.0,8.0,6.0,6.0,0.9166666666666666
KJbZBkwvBKE_000003_000013,44.0,8.0,6.0,6.0,0.9166666666666666
L0U6VyXM7i8_000144_000154,44.0,8.0,6.0,6.0,0.9166666666666666
LdnhG8KuU_0_000026_000036,44.0,8.0,6.0,6.0,0.9166666666666666
VSwMTmpJ2Sw_000180_000190,44.0,8.0,6.0,6.0,0.9166666666666666
WPO6kv3IvsM_000022_000032,44.0,8.0,6.0,6.0,0.9166666666666666
aMCfbarJD6I_000068_000078,44.0,8.0,6.0,6.0,0.9166666666666666
fIl2mVrJ-28_000022_000032,44.0,8.0,6.0,6.0,0.9166666666666666
g3G75AQgDac_000022_000032,44.0,8.0,6.0,6.0,0.9166666666666666
uQ_NSCDjS1k_000746_000756,44.0,8.0,6.0,6.0,0.9166666666666666
yVJtxdxONmw_000193_000203,44.0,8.0,6.0,6.0,0.9166666666666666
zB5MjXOynJk_000007_000017,44.0,8.0,6.0,6.0,0.9166666666666666
3DO62LFUo4I_000281_000291,43.0,8.0,6.0,6.0,0.8958333333333334
4Qqv3APbZfg_000476_000486,43.0,8.0,6.0,6.0,0.8958333333333334
4TQM0hh_-0k_000040_000050,43.0,8.0,6.0,6.0,0.8958333333333334
9LnhOM_mgTM_000000_000010,43.0,8.0,6.0,6.0,0.8958333333333334
HLocETCTm90_000002_000012,43.0,8.0,6.0,6.0,0.8958333333333334
JcUHm-0FZR8_000483_000493,43.0,8.0,6.0,6.0,0.8958333333333334
KsSwUW-NeG0_000013_000023,43.0,8.0,6.0,6.0,0.8958333333333334
MAf022hA-0Q_000011_000021,43.0,8.0,6.0,6.0,0.8958333333333334
SuWfVESUKUM_000073_000083,43.0,8.0,6.0,6.0,0.8958333333333334
YlJvP49ZPbY_000000_000010,43.0,8.0,6.0,6.0,0.8958333333333334
hZSbT-C8Ueo_000015_000025,43.0,8.0,6.0,6.0,0.8958333333333334
i5Hm8MuFQxI_000007_000017,43.0,8.0,6.0,6.0,0.8958333333333334
lTAgxxr-580_000119_000129,43.0,8.0,6.0,6.0,0.8958333333333334
sOHBUjoJddg_000044_000054,43.0,8.0,6.0,6.0,0.8958333333333334
x5gh7DNitcc_000003_000013,43.0,8.0,6.0,6.0,0.8958333333333334
zh7JgFXU0xU_000293_000303,43.0,8.0,6.0,6.0,0.8958333333333334
86SwFSaXvYY_000033_000043,42.0,8.0,6.0,6.0,0.875
FAi96faQ1ig_000078_000088,42.0,8.0,6.0,6.0,0.875
Ie3zOYuJQDw_000009_000019,42.0,8.0,6.0,6.0,0.875
K_tm-8OY41o_000061_000071,42.0,8.0,6.0,6.0,0.875
Nh5tyqlXjpo_000031_000041,42.0,8.0,6.0,6.0,0.875
Q1L7bmVBEsA_000062_000072,42.0,8.0,6.0,6.0,0.875
VaSWZfCFCyM_000003_000013,42.0,8.0,6.0,6.0,0.875
YytB3ojqKks_000000_000010,42.0,8.0,6.0,6.0,0.875
ddTv_6fSXqY_000005_000015,42.0,8.0,6.0,6.0,0.875
eKUXnelq0k8_000047_000057,42.0,8.0,6.0,6.0,0.875
iSmYrsNoqUI_000002_000012,42.0,8.0,6.0,6.0,0.875
lfOGgF1iqIs_000069_000079,42.0,8.0,6.0,6.0,0.875
rCf1nF1F0VI_000055_000065,42.0,8.0,6.0,6.0,0.875
w4FzrI745T8_000231_000241,42.0,8.0,6.0,6.0,0.875
-Ipp3cqqXcM_000138_000148,41.0,8.0,6.0,6.0,0.8541666666666666
1ewbovHEWUI_000052_000062,41.0,8.0,6.0,6.0,0.8541666666666666
4PFppQPsUwU_000071_000081,41.0,8.0,6.0,6.0,0.8541666666666666
EHiHeRETvOk_000016_000026,41.0,8.0,6.0,6.0,0.8541666666666666
NEVUFcRbzjg_000004_000014,41.0,8.0,6.0,6.0,0.8541666666666666
NhwdWRZ5bek_000004_000014,41.0,8.0,6.0,6.0,0.8541666666666666
bZSE4J4IEMQ_000017_000027,41.0,8.0,6.0,6.0,0.8541666666666666
c042IWOJGH8_000117_000127,41.0,8.0,6.0,6.0,0.8541666666666666
cyENAoC4c4k_000009_000019,41.0,8.0,6.0,6.0,0.8541666666666666
hf-d7MYPuZg_000097_000107,41.0,8.0,6.0,6.0,0.8541666666666666
niMQ5JtmaFc_000007_000017,41.0,8.0,6.0,6.0,0.8541666666666666
p-LrZMvXzfU_000000_000010,41.0,8.0,6.0,6.0,0.8541666666666666
wUd00HlWM7k_000012_000022,41.0,8.0,6.0,6.0,0.8541666666666666
zs0HcZWqwFk_000066_000076,41.0,8.0,6.0,6.0,0.8541666666666666
2DnMPnILQeg_000010_000020,40.0,8.0,6.0,6.0,0.8333333333333334
5-jHVW7RXB4_000008_000018,40.0,8.0,6.0,6.0,0.8333333333333334
A56VU48dN4Q_000055_000065,40.0,8.0,6.0,6.0,0.8333333333333334
HfGHJvNFTJ4_000003_000013,40.0,8.0,6.0,6.0,0.8333333333333334
c4BwQ99CUE0_000084_000094,40.0,8.0,6.0,6.0,0.8333333333333334
r60Wmm-n5_w_000054_000064,40.0,8.0,6.0,6.0,0.8333333333333334
vR2gG72oHH0_000012_000022,40.0,8.0,6.0,6.0,0.8333333333333334
0-170t2sK0w_000166_000176,39.0,8.0,6.0,6.0,0.8125
0SE-mWiNx_c_000022_000032,39.0,8.0,6.0,6.0,0.8125
94o_kUyAQ4c_000074_000084,39.0,8.0,6.0,6.0,0.8125
L0gHm-OV6BE_000468_000478,39.0,8.0,6.0,6.0,0.8125
MFHsxqylwP4_000021_000031,39.0,8.0,6.0,6.0,0.8125
_DuwuS_9ljw_000038_000048,39.0,8.0,6.0,6.0,0.8125
eWBT_U55M5g_000008_000018,39.0,8.0,6.0,6.0,0.8125
l3SNCXJeako_000032_000042,39.0,8.0,6.0,6.0,0.8125
yFfRNqs7tYw_000018_000028,39.0,8.0,6.0,6.0,0.8125
2Bcvz15jt88_000000_000010,38.0,8.0,6.0,6.0,0.7916666666666666
5xddvSh8XWo_000000_000010,38.0,8.0,6.0,6.0,0.7916666666666666
Am4-3r46x_Y_000049_000059,38.0,8.0,6.0,6.0,0.7916666666666666
JHHz_Crb35g_000012_000022,38.0,8.0,6.0,6.0,0.7916666666666666
SdOBPgO4MGs_000024_000034,38.0,8.0,6.0,6.0,0.7916666666666666
TQaQySJFOAI_000145_000155,38.0,8.0,6.0,6.0,0.7916666666666666
egHJpjFQ_RI_000059_000069,38.0,8.0,6.0,6.0,0.7916666666666666
eta9co2RRWk_000064_000074,38.0,8.0,6.0,6.0,0.7916666666666666
h8HvaWKwG1Q_000000_000010,38.0,8.0,6.0,6.0,0.7916666666666666
HzXdVrde2Do_000032_000042,37.0,8.0,6.0,6.0,0.7708333333333334
