video_id,question_type,question,a0,a1,a2,a3,a4,correct_idx,predicted_idx,is_correct,confidence,prob_a0,prob_a1,prob_a2,prob_a3,prob_a4,correct_answer,predicted_answer
hmIHImyvlsM_000131_000141,explanatory,Why is [person_1] wearing glasses?,[person_1] is wearing glasses to read lyrics on the music sheet more easily.,It is easier to handle the apple skin when the white bucket is placed on [person_1].,[person_1] is practicing walking with crutches after illness.,Because spoons are thin and strong.,[person_1] is taking care of children.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] is wearing glasses to read lyrics on the music sheet more easily.,[person_1] is wearing glasses to read lyrics on the music sheet more easily.
hmIHImyvlsM_000131_000141,predictive,What is [person_1] going to do?,[person_1] may keep trying to drink.,[person_1] continues to introduce the book.,[person_1] may spray water on the flowers.,[person_1] is going to start eating.,[person_1] is going to both play accordion and read lyrics of the song.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] is going to both play accordion and read lyrics of the song.,[person_1] is going to both play accordion and read lyrics of the song.
hmIHImyvlsM_000131_000141,predictive_reason,Why?,[person_1] holds an accordion and look at the music sheet at the same time.,[person_1] finishes singing.,Maybe [person_1] is having fun.,Maybe [person_1] started weaving fabric.,Maybe [person_1] likes [person_1] outfit.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] holds an accordion and look at the music sheet at the same time.,[person_1] holds an accordion and look at the music sheet at the same time.
RHO0rXLDZYU_000037_000047,descriptive,Where is the [person_1]?,The [person_1] is in a park.,The [person_1] is standing behind the fence.,The [person_1] is on a ground which is covered with thick snows.,The [person_1] is next to the banisters.,The [person_1] is walking along the house.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,The [person_1] is on a ground which is covered with thick snows.,The [person_1] is on a ground which is covered with thick snows.
RHO0rXLDZYU_000037_000047,explanatory,Why did the [person_2] sit and bow?,The [person_2] prevented the [person_1] from throwing the snowball to the face of the [person_2].,For fear that the liquid splashes out as soon as being opened.,The cork must give off a fragrant perfume.,Because [person_2] and [person_1] are playing basketball.,[person_2] roasts marshmallows with other's help.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,The [person_2] prevented the [person_1] from throwing the snowball to the face of the [person_2].,The [person_2] prevented the [person_1] from throwing the snowball to the face of the [person_2].
RHO0rXLDZYU_000037_000047,predictive,What is the [person_2] going to do?,The [person_2] is going to open the box and give the gift to the [person_1].,The [person_2] is going to throw a snowball toward the face of the [person_1].,The [person_2] is going to continue to pop the balloons.,The [person_2] is going to wipe the feet of the [person_1] with a white cloth.,The [person_2] may not hold hand of [person_1] so that the [person_1] can skate.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,The [person_2] is going to throw a snowball toward the face of the [person_1].,The [person_2] is going to throw a snowball toward the face of the [person_1].
aJ1RpsnrN6o_000043_000053,descriptive,Where is [couch_1]?,It is behind [person_2].,It is on the wall.,It is on the bookshelf.,[couch_1] is standing beside the sink.,Four.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,It is behind [person_2].,It is behind [person_2].
aJ1RpsnrN6o_000043_000053,explanatory,Why does [person_1] opening [book_1]?,To lift the shirt in [person_1]'s hand to look at it.,Because [person_1] helps [person_2] open the book.,[person_2] pushed the chair [person_1] lying on.,[person_2] is a child and needs help.,Because [person_2] is still a baby and he can't walk yet.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,Because [person_1] helps [person_2] open the book.,Because [person_1] helps [person_2] open the book.
iX1d4ti2BGY_000000_000010,descriptive,How many cups haven't been drunk which [person_1] will throw the ball into?,Treadmill jogging.,It is red.,It was 1987.,It's red.,Two cups haven't been drunk.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,Two cups haven't been drunk.,Two cups haven't been drunk.
iX1d4ti2BGY_000000_000010,explanatory,Why is the last 2 cups arranged into a single file line?,Maybe that person wanted to teach [person_2] the way to play the harmonica.,There is the grape stomp.,Perhaps playing the harmonica makes [person_1] happy.,Because they are having a visit together.,Perhaps arrange the last 2 cups into a single file line to make shooting easier for everyone.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,Perhaps arrange the last 2 cups into a single file line to make shooting easier for everyone.,Perhaps arrange the last 2 cups into a single file line to make shooting easier for everyone.
iX1d4ti2BGY_000000_000010,counterfactual_reason,Why?,"If [person_1] hits the same cup in beer pong , it is referred to as “ Death Cup ” . With this , the opposing team loses the game automatically.",[person_1] does not have to stop regularly to shovel the soil into the sieve because [person_1] can do the task.,"If [person_1] hits the different cup in beer pong , it is referred to as “ Death Cup ” . With this , the opposing team loses the game automatically.",[person_1] wears a lot of clothes.,"If [person_1] hits the same cup in beer pong , it is referred to as “ Death Cup ” . Without this , the opposing team loses the game automatically.",0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,"If [person_1] hits the same cup in beer pong , it is referred to as “ Death Cup ” . With this , the opposing team loses the game automatically.","If [person_1] hits the same cup in beer pong , it is referred to as “ Death Cup ” . With this , the opposing team loses the game automatically."
_DcXBurCxB0_000101_000111,counterfactual,What will happen if there's another customer?,[person_1] will ask the customer to wait.,The [person_1] will not take a rest.,It is possible that [person_1] will stop playing cello.,[person_1] will be very embarrassed.,[person_1] would feel bored.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,It is possible that [person_1] will stop playing cello.,It is possible that [person_1] will stop playing cello.
0s2mNI32vEo_000023_000033,predictive,What will happen with [person_1] next after finishing reading?,[person_1] may take a rest.,[person_1] will introduce it from different angles.,[person_1] will continue the game.,[person_1] will continue playing the game.,[person_1] will close the book and put it back on the shelf.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] will close the book and put it back on the shelf.,[person_1] will close the book and put it back on the shelf.
0s2mNI32vEo_000023_000033,predictive_reason,Why?,A nice show worth it.,[person_1] is tired.,[person_1] rises to his feet and has done the warm - up . ,[person_1] is very curious about the camera.,[person_1] is reading in a library . It is possible that [person_1] retrieved the book from one of the shelves behind her.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] is reading in a library . It is possible that [person_1] retrieved the book from one of the shelves behind her.,[person_1] is reading in a library . It is possible that [person_1] retrieved the book from one of the shelves behind her.
0s2mNI32vEo_000023_000033,counterfactual,What would happen if [book_3] fell from the shelves behind [person_1]?,[person_1] would stop reading and turn around to pick up [book_3] to return it to its shelves.,[person_1] would probably feed [person_1].,[person_1] and [person_1] would have some drinks.,[person_1] and [book_3] would play football.,water in [book_3] would leak and wet the carpet.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] would stop reading and turn around to pick up [book_3] to return it to its shelves.,[person_1] would stop reading and turn around to pick up [book_3] to return it to its shelves.
gx1xxazr0Ho_000122_000132,explanatory,Why is [person_1] wearing a glasses?,[person_1] 's vision probably has problems.,They go there to skate.,To show polite.,They are playing games.,They are here to practice rugby.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] 's vision probably has problems.,[person_1] 's vision probably has problems.
gx1xxazr0Ho_000122_000132,predictive,What will [person_1] do next?,[person_1] is going to stop picking up apples.,[person_1] will play again.,[person_1] will shuffle the cards.,[person_1] will move the knight.,It is anticipated that [person_1] will form many baskets.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] is going to stop picking up apples.,[person_1] is going to stop picking up apples.
yaAOSEEWJSk_000011_000021,descriptive,What color guitar does [person_1] have?,[person_1] is in the church.,[person_1] is in the sawmill.,[person_1] has a white guitar.,[person_1] is on the street.,[person_1] is in his home office.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] has a white guitar.,[person_1] has a white guitar.
yaAOSEEWJSk_000011_000021,explanatory,Why is [person_1] looking down?,"[person_1] is looking down because he looks at his fingers while playing guitar , so he doesn't make a mistake.",[person_1] is using his harp.,[person_1] is practicing playing guitar.,[person_1] is playing throwing marbles into [person_1].,For spiting out the bottle cap.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,"[person_1] is looking down because he looks at his fingers while playing guitar , so he doesn't make a mistake.","[person_1] is looking down because he looks at his fingers while playing guitar , so he doesn't make a mistake."
yaAOSEEWJSk_000011_000021,predictive,What will happen with [person_1] next?,[person_1] will continue playing dominoes.,[person_1] will finish talking and then record himself doing another guitar technique.,[person_1] will continue staring at somewhere.,[person_1] will finish showing off his musical talent by playing the entire song and then finish.,[person_1] will keep playing the song until he finishes it.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] will keep playing the song until he finishes it.,[person_1] will keep playing the song until he finishes it.
yaAOSEEWJSk_000011_000021,predictive_reason,Why?,[person_1] is proud of his ability to play bagpipes and wants to give the person watching a good performance.,"[person_1] is a doctor in a hospital , so after cleaning her hands , she will continue to do her job and help other people.","[person_1] is skillfully playing a difficult song , so he will not want to stop playing it until he is done with the whole piece.","[person_1] will finish eating it because he opened the lollipop , so now he will have to finish it.",Because [person_1] seems to have a lot work to do.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,"[person_1] is skillfully playing a difficult song , so he will not want to stop playing it until he is done with the whole piece.","[person_1] is skillfully playing a difficult song , so he will not want to stop playing it until he is done with the whole piece."
yaAOSEEWJSk_000011_000021,counterfactual,What would happen if the hand of [person_1] started to cramp up?,[person_1] would not be able to play the harmonica.,[person_1] will find a wall to lean against.,[person_1] would stop playing because his hand is in pain.,[person_1] will stand for a few seconds and fall.,[person_1] will put hands on his head.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] would stop playing because his hand is in pain.,[person_1] would stop playing because his hand is in pain.
yaAOSEEWJSk_000011_000021,counterfactual_reason,Why?,They took the game as funny and they were not hungry enough.,[person_1] would stop because he could hurt it if he continues to play with his hand in so much pain.,Because they think this is a plot of dance.,The [person_1] does not bend down when she cleans her hair.,Because the riding speed is fast enough now.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] would stop because he could hurt it if he continues to play with his hand in so much pain.,[person_1] would stop because he could hurt it if he continues to play with his hand in so much pain.
nO12iYRCmLY_000043_000053,counterfactual,What will happen if the dolls fall over?,[person_1] would be startled.,The hands of the [person_1] will be wet.,The [person_1] will pick the dolls up.,The [person_1] might fall from a considerable height.,[person_1] would not have to hang the weights on the shelf after each time he stands up.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,The [person_1] will pick the dolls up.,The [person_1] will pick the dolls up.
eFg8f5es83U_000015_000025,explanatory,Why is [person_1] holding a guitar?,[person_1] is reading the book for the rest.,[person_1] thinks the inhaler is interesting.,[person_1] is singing and playing the guitar.,The [person_1] is harvesting apples and the apple branches are high.,[person_1] blows the clarinet attentively.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] is singing and playing the guitar.,[person_1] is singing and playing the guitar.
eFg8f5es83U_000015_000025,counterfactual,What will happen if [person_1] damages the guitar?,[person_1] will eat other food.,[person_1] will have to sell a new guitar.,[person_1] will be very tired.,[person_1] will have to buy a new guitar.,The [person_1] will hear sound from accordion.,3,3,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] will have to buy a new guitar.,[person_1] will have to buy a new guitar.
BVMxdSXghoI_000120_000130,descriptive,Where are [person_1] and [person_2] ?,[person_1] and [person_2] are in the pool.,[person_1] and [person_2] are in a show.,[person_1] and [person_2] are in the recording studio.,[person_1] and [person_2] are on the stage.,[person_1] and [person_2] are in the gym.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] and [person_2] are in a show.,[person_1] and [person_2] are in a show.
BVMxdSXghoI_000120_000130,counterfactual,What will happen if the girl wants to play flute ?,[person_1] will stop eating.,[person_1] and [person_1] will be hurt.,She will ask [person_1] to instruct her to play.,"If [person_1] started to choke on the hotdog , [person_1] would quickly attempt to save [person_1].",[person_1] and [person_1] would get serious injury on their chests.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,She will ask [person_1] to instruct her to play.,She will ask [person_1] to instruct her to play.
XoKbvDVBHUM_000066_000076,explanatory,Why is [person_2] here?,[person_1] is snatching weight - lifting.,[person_1] is practicing snatching weight lifting.,[person_2] is helping [person_1] practicing side - kicking.,[person_1] is trying to explaining about picking up apples.,Because they may be thirsty.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_2] is helping [person_1] practicing side - kicking.,[person_2] is helping [person_1] practicing side - kicking.
xUrK4VFLPTE_000007_000017,explanatory,Why is [person_1] holding [orange_1]?,[person_1] is reading a book.,[person_1] is ripping paper.,Because [person_1] just received a gift.,[person_1] is squeezing oranges.,[person_1] is putting her mouth on [person_1] to blow into it so she can play her bagpipes.,3,3,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] is squeezing oranges.,[person_1] is squeezing oranges.
xUrK4VFLPTE_000007_000017,predictive,What is [person_1] going to do?,[person_1] is going to continue playing the bagpipes.,[person_1] is going to drink orange juice.,[person_1] is going to pick up the ball.,[person_1] is going to stand there to perform.,[person_1] is going to put the dressing on the cake.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] is going to drink orange juice.,[person_1] is going to drink orange juice.
xUrK4VFLPTE_000007_000017,counterfactual,What will happen if [person_1] doesn't take down the other half of the orange?,The insects will eat the other half of the orange.,[person_1] will pick it up.,[person_1] may not keep hooping.,[person_1] may not see anything.,[person_1] and [person_1] had to find tools to pry the machine away.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,The insects will eat the other half of the orange.,The insects will eat the other half of the orange.
9oKB8a9tDGQ_000194_000204,descriptive,What color shirt does [person_1] wear ? i,It is red.,It is red and white points.,[person_1] wears a blue and white shirt.,It is a watch.,The room is white.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] wears a blue and white shirt.,[person_1] wears a blue and white shirt.
9oKB8a9tDGQ_000194_000204,explanatory,Why does [person_1] raise sheep?,[person_1] is holding the target for the kick of [person_1].,[person_1] wants to ride the mechanical bull.,[person_1] is teaching how to play the flute.,Because [person_1] wants to play the big gong.,Because [person_1] wants to shave the sheep.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,Because [person_1] wants to shave the sheep.,Because [person_1] wants to shave the sheep.
Z8A6PxdQqak_000003_000013,descriptive,What color is the gong stick?,A T - shirt and a helmet.,The paper fan is hanged on the wall.,It's on the table.,The gong stick is red.,The guitar is white.,3,3,True,0.2,0.2,0.2,0.2,0.2,0.2,The gong stick is red.,The gong stick is red.
Z8A6PxdQqak_000003_000013,explanatory,Why does [person_1] stand next to the gong?,[person_1] is looking at [person_1].,Maybe [person_1] and [person_1] are applying the wax to wax armpits for [person_1].,Because the [person_1] is trying to lead the camel.,Because [person_1] is playing skipping stone.,"Because [person_1] hits on the gong , [person_1] has to stand next to it.",4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,"Because [person_1] hits on the gong , [person_1] has to stand next to it.","Because [person_1] hits on the gong , [person_1] has to stand next to it."
vz9xYH1AhUA_000259_000269,descriptive,How is the light ?,The rope is yellow.,It is quite dark.,Yes.,The hair is brown.,The [person_1] is red.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,It is quite dark.,It is quite dark.
vz9xYH1AhUA_000259_000269,counterfactual,What would happen if [person_1] didn't know how to play harp ?,She might remove it with nail remover.,[person_1] will be not able to complete the work.,The [person_1] might fall to the roadside.,[person_1] might not make fun.,[person_1] will not be able to play harp.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] will not be able to play harp.,[person_1] will not be able to play harp.
L-FVSUDIGTE_000026_000036,explanatory,Why does [person_1] have   a pencil   in his hand?,[person_1] wants to sharpen the pencil.,[person_1] doesn't have a car.,[person_1] is curious about the thing inside the box.,Because [person_1] is putting a ring on his finger.,Because it's interesting in winter.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] wants to sharpen the pencil.,[person_1] wants to sharpen the pencil.
L-FVSUDIGTE_000026_000036,counterfactual,What will happen if [person_1] finishes sharpening the pencil ?,[person_1] would take it down and buy a new guitar.,[person_1] will draw a picture.,The baseball may fly over [person_1]'s head.,[person_1] may get hurt.,[person_1] will be tired.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] will draw a picture.,[person_1] will draw a picture.
wsTvQkf0Ks4_000009_000019,predictive_reason,Why?,The candle doesn't burn well.,[person_1] put down the weights.,[person_1] keen on the activity.,[person_1] keeps the mouth of the bottle to his mouth . And there's no desire to let it go.,The meat hasn't cooked yet.,3,3,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] keeps the mouth of the bottle to his mouth . And there's no desire to let it go.,[person_1] keeps the mouth of the bottle to his mouth . And there's no desire to let it go.
wsTvQkf0Ks4_000009_000019,counterfactual,What will happen if the beer gets in his windpipe?,[person_1]'s fans will decrease.,[person_1] will smile.,[person_1] will throw it.,[person_1] will score maximum point.,[person_1] won't be able to breathe.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] won't be able to breathe.,[person_1] won't be able to breathe.
wsTvQkf0Ks4_000009_000019,counterfactual_reason,Why?,[person_1] is performing a solo with an electric bass guitar.,[bottle_1] has a lot of cups.,"While [person_1] is dumping the dirt , a hand is grabing the sieve for her.",The pitch is so strong that could hurt [bottle_1].,"Once water enters the trachea , it can make breathing difficult.",4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,"Once water enters the trachea , it can make breathing difficult.","Once water enters the trachea , it can make breathing difficult."
1ffk0zeFg9k_000029_000039,explanatory,How does [person_1] roast marshmallows?,[person_1] is standing up to play his guitar in front of the camera.,Because they're watching the man in the middle perform.,[person_1] is practicing standing on his hands.,[person_1] uses the gas cooker to roast marshmallows.,[person_1] is sitting in front of the table to tap the pen easier on the table.,3,3,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] uses the gas cooker to roast marshmallows.,[person_1] uses the gas cooker to roast marshmallows.
1ffk0zeFg9k_000029_000039,counterfactual,What would happen if the gas cooker can't be used?,[person_1] will eat the [person_1] faster.,[person_1] won't play the toy anymore.,[person_1] will fold other clothes on the bed.,[person_1] will stand up and celebrate.,[person_1] and [person_1] would stop the roasting.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] and [person_1] would stop the roasting.,[person_1] and [person_1] would stop the roasting.
1ffk0zeFg9k_000029_000039,counterfactual_reason,Why?,They already have had enough marshmallows.,"As heavy as the hammer is , it would deliver a fatal blow to anyone got hit.",They have to make sure every part of the wedding is recorded.,The light is on and very few people are in the ski area.,The [person_2] cuts the potatoes into three to cook faster.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,They have to make sure every part of the wedding is recorded.,They have to make sure every part of the wedding is recorded.
NaFdJEo-_l8_000063_000073,explanatory,Why does the doll in the lest of the [person_1] move?,Because it seems to be loaded with batteries.,Because it's very hot.,[person_1] is a goalkeeper.,Because it's an electron microscope.,To make good the atmosphere.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,Because it seems to be loaded with batteries.,Because it seems to be loaded with batteries.
NaFdJEo-_l8_000063_000073,counterfactual,What will happen if the [doll_1] fall over?,[person_1] will ride the horse.,The [person_1] will pick the [doll_1] up.,The dog will bark.,Then [person_1] may dance at will.,Both of them would fall.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,The [person_1] will pick the [doll_1] up.,The [person_1] will pick the [doll_1] up.
NaFdJEo-_l8_000063_000073,counterfactual_reason,Why?,"Nails are often cut off near the leg and when [doll_1] moves , [doll_1] is also easy to injure.",The room will still have the remaining lights working.,Because it will clutter the space if it is not picked up.,To help fix the [doll_1].,Because there is no one to divert the traffic.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,Because it will clutter the space if it is not picked up.,Because it will clutter the space if it is not picked up.
czAwq50QtJo_000004_000014,explanatory,Why does [person_3] raise the [cell phone_1]?,[person_3] holds the tree log to avoid rolling down.,[person_3] uses the percussion mallets to produce sound.,[person_3] raises the [cell phone_1] to take a video.,To show that [person_3] has opened the bottle smoothly.,[cell phone_1] lets the drill speedily rotate the apple while he is holding a peeler on the skin.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_3] raises the [cell phone_1] to take a video.,[person_3] raises the [cell phone_1] to take a video.
czAwq50QtJo_000004_000014,predictive,What is the woman in front of [person_1] going to do?,The [person_1] will adjust it.,The [person_1] will control the phone.,The [person_1] will add other things in the water pit.,The woman is going to collect the fur of [person_1].,The woman in the middle is going to swallow a sword.,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,The woman in the middle is going to swallow a sword.,The woman in the middle is going to swallow a sword.
fbxlzh3kK9g_000004_000014,descriptive,Where is [person_1] at?,[person_1] is in the kitchen.,[person_1] is in the gym.,[person_1] is in the living room.,[person_1] is in a snow mountain.,[person_1] is in the textile factory.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] is in the living room.,[person_1] is in the living room.
fbxlzh3kK9g_000004_000014,predictive_reason,Why?,The TV is turned on.,Because he is practicing golf at home.,[person_1] tried using that smart phone.,[person_1] is training.,Because [person_1] is thirsty.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,The TV is turned on.,The TV is turned on.
UM2LWfQn2LA_000004_000014,descriptive,Where is the [bowl_1]?,The shirt [bowl_1] wearing is red.,[bowl_1] is near the [person_3].,It is brown.,It's yellow.,The flute is tubular shape.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,[bowl_1] is near the [person_3].,[bowl_1] is near the [person_3].
UM2LWfQn2LA_000004_000014,explanatory,Why isn't [person_4] eating?,[person_4] is too small to eat such food.,[person_4] wants to play with these big dices.,[person_4] is holding a sword and slowly walk towards and then turning around.,They taste good.,Because [person_4] is currently in a room without light.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_4] is too small to eat such food.,[person_4] is too small to eat such food.
UM2LWfQn2LA_000004_000014,predictive,What will they do after eating the food?,[bowl_1] will guide them to do.,He will continue counting money.,[bowl_1] will stop and may take a short break.,They will go back home.,[person_4] is going to talk to someone beside her.,3,3,True,0.2,0.2,0.2,0.2,0.2,0.2,They will go back home.,They will go back home.
GCKH5DGXTec_000034_000044,explanatory,why is [person_1] sitting?,Because [person_1] wants to see [person_1] opening the present.,[person_1] is talking about his barber shop.,[person_1] is not able to walk yet.,[person_1] must rest the guitar on his thighs.,Because [person_1] is playing xylophone.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,Because [person_1] wants to see [person_1] opening the present.,Because [person_1] wants to see [person_1] opening the present.
TdFGn36GIv0_000013_000023,descriptive,Where is [book_1]?,[book_1] is in front of [person_1] . [person_1] is holding [book_1] in hand.,[book_1] is under [person_1].,[book_1] is behind [person_1].,[book_1] is on the left of [person_1]?,[book_1] is behind [person_1].,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,[book_1] is in front of [person_1] . [person_1] is holding [book_1] in hand.,[book_1] is in front of [person_1] . [person_1] is holding [book_1] in hand.
TdFGn36GIv0_000013_000023,predictive_reason,Why?,[person_1] wants the birds perched on his hand.,[person_1] is wearing a uniform and is squeezing oranges.,[person_1] has hit the ball away.,[person_1] took the book in hand and opened it.,[person_1] shaved off the bottom part of his beard.,3,3,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] took the book in hand and opened it.,[person_1] took the book in hand and opened it.
4AufpbOUVZ0_000004_000014,predictive,What is [person_1] going to do?,[person_1] is going to drink some water.,[person_1] is going to lift slowly.,[person_1] is going to keep training.,[person_1] is going to hold the camera.,[person_1] will turn off the camera.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] is going to drink some water.,[person_1] is going to drink some water.
z1TV-NUXpZE_000125_000135,predictive,What will [person_1] do?,[person_1] will take out the ring from the ring box.,[person_1] will leave the mattress and take another jump.,[person_1] may wait until a fish bites the hook.,[person_1] will continue to ride the unicycle back and forth.,[person_1] will keep free running.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] will take out the ring from the ring box.,[person_1] will take out the ring from the ring box.
